,question,answer
1,What nationality was Benedetto Varchi?,Greek.
2,What nationality was Benedetto Varchi?,French.
3,What nationality was Benedetto Varchi?,Croatian.
4,What nationality was Benedetto Varchi?,Portuguese.
5,What nationality was Benedetto Varchi?,Hungarian.
6,What nationality was Benedetto Varchi?,Swiss.
7,What nationality was Benedetto Varchi?,Dutch.
8,What nationality was Benedetto Varchi?,Macedonian.
9,What nationality was Benedetto Varchi?,Austrian.
11,What professions did Benedetto Varchi have?,"Musicologist, diplomat, architect."
12,What professions did Benedetto Varchi have?,"Astronomer, engineer."
13,What professions did Benedetto Varchi have?,"Musicologist, philosopher, sculptor."
14,What professions did Benedetto Varchi have?,Architect and engineer.
15,What professions did Benedetto Varchi have?,Chess player and engineer.
16,What professions did Benedetto Varchi have?,"Aeronautical Engineer, Diplomat."
17,What professions did Benedetto Varchi have?,Philosopher and diplomat.
18,What professions did Benedetto Varchi have?,"Cartographer, diplomat, engineer."
19,What professions did Benedetto Varchi have?,Astronomer and diplomat.
21,Where was Benedetto Varchi born?,Pisa.
22,Where was Benedetto Varchi born?,Siena.
23,Where was Benedetto Varchi born?,Milan.
24,Where was Benedetto Varchi born?,Venice.
25,Where was Benedetto Varchi born?,Bologna.
26,Where was Benedetto Varchi born?,Vienna.
27,Where was Benedetto Varchi born?,Naples.
28,Where was Benedetto Varchi born?,Padua.
29,Where was Benedetto Varchi born?,Rome.
31,Who commissioned Benedetto Varchi to write a history of Florence?,Lorenzo de' Medici.
32,Who commissioned Benedetto Varchi to write a history of Florence?,The Pope.
33,Who commissioned Benedetto Varchi to write a history of Florence?,The Duke of Ferrara.
34,Who commissioned Benedetto Varchi to write a history of Florence?,Pope Leo X.
35,Who commissioned Benedetto Varchi to write a history of Florence?,Pope Clement VII.
36,Who commissioned Benedetto Varchi to write a history of Florence?,Giovanni de' Medici.
37,Who commissioned Benedetto Varchi to write a history of Florence?,Francesco Maria del Monte.
38,Who commissioned Benedetto Varchi to write a history of Florence?,Duke Ernest of Austria.
39,Who commissioned Benedetto Varchi to write a history of Florence?,Gian Battista Montefeltro.
41,When was Varchi's Storia fiorentina first published in Florence?,1739.
42,When was Varchi's Storia fiorentina first published in Florence?,1756.
43,When was Varchi's Storia fiorentina first published in Florence?,1727.
44,When was Varchi's Storia fiorentina first published in Florence?,1617.
45,When was Varchi's Storia fiorentina first published in Florence?,1565.
46,When was Varchi's Storia fiorentina first published in Florence?,1708.
47,When was Varchi's Storia fiorentina first published in Florence?,1725.
48,When was Varchi's Storia fiorentina first published in Florence?,1647.
49,When was Varchi's Storia fiorentina first published in Florence?,1501.
51,Which work of Ezra Pound mentions Benedetto Varchi?,The Pisan Cantos.
52,Which work of Ezra Pound mentions Benedetto Varchi?,Confessions of the Black Monk.
53,Which work of Ezra Pound mentions Benedetto Varchi?,Pisan Cantos.
54,Which work of Ezra Pound mentions Benedetto Varchi?,"The Pisan Cantos, which is also the only one to be set in Italy."
55,Which work of Ezra Pound mentions Benedetto Varchi?,A Lume Spento.
56,Which work of Ezra Pound mentions Benedetto Varchi?,Pansies.
57,Which work of Ezra Pound mentions Benedetto Varchi?,"The Cantos, 1, 73b (also translated as The Pisan Cantos)."
58,Which work of Ezra Pound mentions Benedetto Varchi?,Eliot's Waste Land.
59,Which work of Ezra Pound mentions Benedetto Varchi?,"The Cantos does not mention Benedetto Varchi, it was actually Ezra Pound's earliest work, a poem called Il Pocemio, which"
71,What nationality was Wilhelm Wattenbach?,Swiss.
72,What nationality was Wilhelm Wattenbach?,British.
73,What nationality was Wilhelm Wattenbach?,Belgian.
74,What nationality was Wilhelm Wattenbach?,Austrian.
75,What nationality was Wilhelm Wattenbach?,Swedish.
76,What nationality was Wilhelm Wattenbach?,Dutch.
77,What nationality was Wilhelm Wattenbach?,Austro-German.
78,What nationality was Wilhelm Wattenbach?,Danish.
79,What nationality was Wilhelm Wattenbach?,French.
81,In which field did Wilhelm Wattenbach specialize?,Archaeology.
82,In which field did Wilhelm Wattenbach specialize?,Paleontology.
83,In which field did Wilhelm Wattenbach specialize?,Oceanography.
84,In which field did Wilhelm Wattenbach specialize?,Architecture.
85,In which field did Wilhelm Wattenbach specialize?,Botany.
86,In which field did Wilhelm Wattenbach specialize?,Astronomy.
87,In which field did Wilhelm Wattenbach specialize?,Zoology.
88,In which field did Wilhelm Wattenbach specialize?,Cartography.
89,In which field did Wilhelm Wattenbach specialize?,Geophysics.
101,In which country did Elsa Triolet settle after emigrating from Russia?,Finland.
102,In which country did Elsa Triolet settle after emigrating from Russia?,Greece.
103,In which country did Elsa Triolet settle after emigrating from Russia?,Sweden.
104,In which country did Elsa Triolet settle after emigrating from Russia?,Portugal.
105,In which country did Elsa Triolet settle after emigrating from Russia?,Germany.
106,In which country did Elsa Triolet settle after emigrating from Russia?,Turkey.
107,In which country did Elsa Triolet settle after emigrating from Russia?,Norway.
108,In which country did Elsa Triolet settle after emigrating from Russia?,Australia.
109,In which country did Elsa Triolet settle after emigrating from Russia?,Switzerland.
111,Who did Elsa Triolet meet in 1928 that she would later marry?,Guillaume Apollinaire.
112,Who did Elsa Triolet meet in 1928 that she would later marry?,Paul Éluard.
113,Who did Elsa Triolet meet in 1928 that she would later marry?,Sergei Diaghilev.
114,Who did Elsa Triolet meet in 1928 that she would later marry?,André Breton.
115,Who did Elsa Triolet meet in 1928 that she would later marry?,Paul Valéry.
116,Who did Elsa Triolet meet in 1928 that she would later marry?,Louis Aragon's brother.
